hii	Health
diaspore	水铝石
irradiation	放射
ironsmith	铁匠
quadricentennial	400周年纪念的
transplanter	移植者
weatherproof	不受天气影响的
caput	首
upheave	隆起
aok	一切正常
restitute	复原
bareboat	空船的
inhuman	野蛮
craniotomy	颅骨切开术
acquiescently	顺从
superduper	非常好
chaucerism	乔叟式的文体
enchylema	透明质
acerbating	使烦恼
proof	不能透入
prospect	前景
hermaphroditism	雌雄同体性
unflawed	无缺点的
gobbledygook	官样文章
checked	棋盘状
lagthing	挪威议会的上院
refurnish	再供给
hypergolic	自行着火的
yha	Youth
validly	正当地
bowl	碗状物
wain	运货马车
diacritical	可区别的
alamode	流行的
defensibly	可辩护地
midterm	中间的
asosan	阿苏山
roughwrought	粗制的
refill	新补充物
highly	高
mole	筑有防波堤的海港
undercharge	未给……装足够的火药
twifold	两倍
producer	生产者
extremely	极端
internationally	国际性地
plastogene	质体基因
hierocratic	僧侣统治制度
waterscape	海景
tenable	可维持
bronchobuster	牛仔
untilled	未开垦的
probably	或许
fanback	有扇形靠背
unpolluted	清洁
sparing	保守的
vainglory	自负
chaw	嚼
pectinesterase	果胶酯酶
gargle	含漱剂
wellsite	钙交沸石
thir	pro
modesty	虚心
benzophenone	苯甲酮
colorful	有趣的
making	素质
uncharted	未知
feodal	领
biogeocoenosis	生态系
permanence	永久
styliform	末端尖而细长
rpc	Corps
amiantus	石棉的一种
balsamic	香膏质的
pettifogging	骗人
tortious	侵权行为
biblical	圣经
amort	无生气的
unpolluted	未受污染
fearless	大胆的
eventless	平凡的
opuscule	小作品
camping	野营
vane	风环
projecting	突出的
heaping	放得太多
ichthyosarcotoxism	鱼肉中毒
byzantine	拜占庭派的建筑师
acarpous	不结果的
pantheon	罗马万神殿
crossette	门耳
butcherly	残忍
chairoplane	旋转飞椅
crenel	城或墙顶之垛口
vulgate	通行
flickering	闪烁
professional	专业人员
extendible	可伸长的
preshrunk	加以防缩加工
pedometer	步数计
photoflash	照相闪光灯的
uncharming	可厌
housework	家务
harmonistic	悦耳
faithful	可靠
surplusage	剩余物
dramatic	生动的
wetland	沼泽地
basis	基本
warrior	战斗
epicanthic	内眦皮
twitch	痉挛
infector	传播者
reverent	尊敬的
struthonian	不敢正视现实
tetraxial	有四个轴的
brunhild	布伦希尔特(德国史诗
wealthily	丰富地
dryness	干
bannister	栏干
monteverdian	蒙特威尔
stress	重点
slinkskin	早产仔畜皮革
shock	震惊得
iterance	复述
subcapsular	囊下
catechist	问答式教授者
dutiful	孝敬
francophobe	反法国
imperfectly	没完
subhumid	有足够雨量供草木生长的
noncaloric	热量极低的
palaestra	健身房
whop	打败
saharanpur	萨哈兰普尔
bdtr	Data
topocentric	地面点的
ate	Test
unembroidered	简单的
lumber	乱堆
unpardoned	不被原谅
tervalent	三价的
maidenly	适合于少女的
expense	费用
refractable	可折射的
propound	提出
benignly	亲切地
wildfowl	野禽
tobacco	抽烟
calm	镇定
straightforward	正直
necessary	必需品
sustenance	支持
feathering	附装羽毛状
lexigraphic	词素文字
sizable	相当大的
unlikely	不太可能的
redevelopment	重点恢复
gardant	面部正对观看者的
suspensive	未决定的
mispleading	申诉
symplesite	砷铁矿
disclaimatory	表示否认的
dystrophia	营养不良
now	目前
exhaustive	无遗漏的
tigrine	虎的
upright	诚实的
recordist	录音员
geomedical	风土医学的
flee	逃走
panduriform	提琴形
seeker	探求者
reflexible	反射性
repentant	后悔的
tame	沉闷
polyembryony	多胎
vascar	Speed
diproton	双质子
figurable	能成形的
autotelic	自己本身具有目的的
deepwater	海洋上
idiocratically	癖好地
celadon	灰绿色
suprarenal	肾脏上的
boffo	开心的大笑
hallstatt	初期铁器时代的
postmortem	死后发生
exoteric	一般人所能理解的
brash	性急
receipt	收到
steamy	多蒸汽
ectomorphic	外胚层体型的
trivalve	三瓣
irak	伊拉克
periodical	杂志
uncorrected	未调整
enterpriser	企业家
dardan	特洛伊人
exegetical	解经
needless	不必要的
mortar	臼
hornless	无角
featherhead	蠢人
unmeant	无意
nonenzymic	非酶
salop	英国行政区之一
delinquent	拖欠债务
partner	舞伴
bto	Time
lisping	口齿不清
regional	域性
sustain	维持
mamillated	有乳头状突出物的
put	航行
pravda	俄
warty	有疣
bender	弯腰者
hydrocrack	加氢裂化
flintily	冷酷
uncalculated	一时冲动而造成的
hexenbesen	扫帚病
shelly	壳一般
springhalt	跛行症
bachelor	文理学士
cockleboat	轻舟
degree	度数
arbitrational	关于仲裁的
knit	密接
counterappeal	抗告
trenchplough	深耕犁
knitgoods	针织品
semifinalist	于初赛获得以在半决赛时出赛的选手
zymogram	酶谱
socket	牙糟
crossed	十字的
flop	砰然落下
contemptuous	侮辱的
cuss	坏话
nehemiah	世纪的希伯来领导人
comminatory	威吓的
shimmy	晃动
fjp	York纽约犹太慈善团体联合会
towel	手巾
with	由于
remedy	矫正
zeugmatography	软组织结构的映像
incisal	割的
chasmophyte	在石缝中生长的植物
celibate	独身的
excerpt	引用
pulperia	酒店
illegibly	难读地
podzolise	=podzolize
antipodal	正相反
inimically	有敌意地
