tcheka	=Cheka
dwarf	侏儒
yeomanry	自由民
apparente	明显
vernalize	施以春化处理
stanniferous	含锡的
authoritative	权威
passee	凋谢
workload	工作量
pyroelectric	焦热电
protracted	拖延
flown	fly的过去分词
pleiotropic	多效性的
nomenclative	术语
phyllode	叶状柄
creamer	乳酪分离器
yarn	奇谈
depletion	损耗
noyade	溺刑
affected	做作的
synodal	会议的
etruscan	伊特鲁里亚的
apt	敏捷
illfare	困苦
rickety	患佝偻病
raptured	销魂的
harmonistic	悦耳的
jounce	颠簸
kinsey	Alfred
weight	重要
duds	旧衣
roboticist	机器人专家
kithe	证明
edging	缘饰
charactron	字码管
amido	氨基
flushing	使人脸红的
expediency	私利
allotmenteer	小块园地经营者
chilblain	冻疮
dogfight	在空中缠斗
addle	腐坏
specilize	特殊化
diarize	记日记
rigor	严厉
dwarfish	矮小
vacuole	空泡
mph	miles
downright	彻底
peace	和平
brythonic	布立吞人的
windowy	洞多
enroll	使入伍
abuttal	毗连
ectype	复制品
irrelevancy	不恰当
inbreeding	同系繁殖
junkyard	分类、出售处
facilitate	使容易
yanqui	美国人
trouper	老练演员
bait	把饵装上
magenta	洋红
tenement	租房子
epiphenomenalism	副现象论
menstruum	溶媒
synchronal	同步
econometrical	计量经济学
chronograph	记时计
goodwife	女主人
adamite	裸体主义者
greco	El格列柯
spar	晶石
rowboat	小舟
lectureship	讲师的职位
absoluteness	绝对
premature	太早
rituality	墨守仪式
keap	扣留
counterpane	床罩
antennal	触角的
fluorography	X光间接摄影法
uddered	有……之乳房的
every	每一
unidentifiable	无法鉴定
tolerant	宽恕
attend	照顾
redden	变红
zilpah	悉帕
ox	牛
archaize	仿古
petting	抚摸
sweepingly	扫荡地
floridly	华丽
discoid	铁饼状
disembarrassment	使免于困窘
impar	奇数
surgy	大浪翻腾的
japan	日本
hangfire	延时发火
triturate	粉碎
wolfess	性行为如狼似虎的女人
standard	军旗
lionhood	名人地位
tepidarium	温水浴间
redintegration	复旧
serrate	锯齿状的
prompting	提示
wirehaired	硬毛
breaking	破坏
bittersweet	又苦又甜
icekhana	赛车
slatted	装有板条的
yell	叫声
firearm	枪炮
induce	劝诱
scurvy	无礼的
cystic	胞囊的
partnership	合股
tradespeople	开商店者及其家属
computernik	电脑迷
floeberg	冰山
fogfruit	石苋
rapturous	欢天喜地的
daze	使晕眩
luniform	月状
scurvily	无礼
federate	同盟的
colicroot	各种可用以治腹痛植物
elegance	雅致
decapitator	斩首者
manageress	女经理
coastal	沿海的
weave	编织
beefy	健壮的
unary	一元的
mage	魔术师
prattle	孩子话
listenership	听众
underlet	廉价出租
presenile	未老先衰的
sentiment	情绪
faa	联邦航空局
brocade	锦缎
yellowhammer	黄鹉
eupatrid	世袭贵族
confirm	确认
choleraic	霍乱
receivability	可接纳
philosophical	哲学
scapular	无袖外衣
moulder	制模工
scruple	有顾忌
leninism	列宁主义
mainly	大体上
lagune	泻湖
fernery	蕨类栽培地
reasoned	详尽论述的
unaware	没觉察到的
nondrinking	不喝酒的
jadish	精疲力竭
shh	show
gallican	教宗权制限主义者
allowance	定量供应
iranair	伊朗国家航空公司
monumental	纪念物的
uncreated	尚未产生
levy	征集
delectus	选萃
unfluctuating	稳定的
laicise	=laicize
excorticate	剥去……的外皮
fix	贿赂
thymocyte	胸腺细胞
plectra	plectrum
