patient	忍耐的
thermalise	=thermalize
expiate	赎罪
ashake	摇动
apostate	变节者
cinnamene	苯乙烯
carnie	游乐场管理员
wisha	哦
tweeter	高音用扩音器
come	来临
jinrikisha	人力车
hydroid	水螅虫
excubitorium	值夜人的职位或岗位
petrifactive	石化性
typhogenic	引起斑疹伤寒
captive	被俘
elfin	小精灵
mirror	典范
cultivatable	可栽培
muster	一群
lymphangiitis	=lymphangitis
superincumbent	自上而下
aew	early
truer	确实
benthonic	海底
somnambulism	催眠梦游症
nbw	west
swank	炫耀
endopodite	内肢
chaff	戏弄
plug	塞子
hairtrigger	一触即发的
aridity	乏味
thesaurosis	贮积病
assaultable	可攻击
impresario	经理
quick	活人
anaphrodisiac	制欲
marking	作记号
wikiup	=wickiup
incog	微行
simonize	给……上蜡
fretted	附有弦马
beachhead	登陆场
semidomesticated	半驯养的
fleche	小尖塔
distant	远
goodwife	女子的敬称
working	劳动的
pussley	=purslane
outbound	开往外国
titrimetric	滴定的
paleocene	古新世
alienism	外侨身份
sloganeer	大量使用标语口号
ncaa	全国大学生体育协会
monteverdian	蒙特威尔地音乐
unco	没看惯
unforeseen	无法预料
neutrodyne	中和接收法
suburb	郊区
humidity	湿度沼泽中的肥沃高
white	白
bilection	=bolection
baloney	胡扯
iterant	复述
disvalue	轻视
electropolar	电极性的
czech	捷克人的
unskilful	笨拙
overawe	威慑
rejective	排斥
compensator	补偿者
vintage	制造年期
whither	目的地
insectival	昆虫的
uncustomed	无须付关税的
inky	给墨水弄污
unsightly	不悦目
quietistic	寂静主义的
antifreezing	防冻
truculence	好战
grandfatherly	祖父似的
lockeanism	洛克派哲学学说
furcation	分歧
adulate	谄媚
retarded	智力迟钝
plutocratic	财阀
wealthily	富有地
nunnery	女修道院
featured	作为号召物的
gemmiparous	发芽
tartarous	含酒石
parochiaid	政府给予教会学校的资助
mugginess	闷热
retort	反击
impavid	无惧的
frantically	疯狂似
aurantiaceous	橙黄色
variegate	使多样化
unselfish	慷慨的
cracow	=Krakow
regular	正规军
benthamic	功利主义
parallel	并联
appreciatory	欣赏力的
ridiculously	可笑地
overgrew	的过去式
keratometric	角膜弯度计
bromo	止头痛药
copenhagen	哥本哈根
slender	微弱的
gandhian	甘地的
internuclear	核间的
phonotactics	音位结构学
corruptly	可被收买的
febrifuge	解热药
otherworldliness	冥间
dogwatch	暮更
pout	大头鱼类
agadir	阿加迪尔
scorbutic	坏血病
aether	苍穹
ligulate	舌状的
befuddle	使迷糊
subdeaconry	职位
seismographic	地震仪的
cancroid	蟹状
comminjute	分割财产
younker	青年
deflocculant	悬浮剂
regress	回归
benison	祝福
radiograph	拍……的射线照片
interzonal	带间
humbly	谦恭
carbonaceous	碳
unphysiologic	不符合生理规律的
pungent	严厉的
nonunionist	不属于工会之工人
lawny	平坦并铺有草皮
eniac	ENIAC
rasp	刺耳声
animistic	万物有灵论
unartificial	非人工的
maxisingle	慢转唱片
capacious	广阔的
iaru	国际业余无线电爱好者联合会
protogenic	原生
mean	惭愧
rampant	蔓生的
unendowed	不具有
belibel	诽谤
costless	不须花钱的
inc	包括
metacode	元代码
glum	阴郁的
official	官方
angus	安格斯
warrant	许可证
baathist	叙利亚社会党的
drophead	活动帆布车顶
conceptive	有想象
verily	忠实地
quarterback	四分卫
attache	大使随员
design	花样
citic	中国国际信托投资公司
through	从开始到结束
aloof	避开
isostemony	同基数雄蕊式
entablature	支柱
fluke	锚爪
pilus	菌毛
dispope	罢黜教皇的职位
ocap	开放式线缆应用平台
privilege	特别待遇
doomful	充满厄运的
denunciatory	非难的
settleable	会沉淀
crock	坛子
crispen	变得鲜脆
elea	埃里亚
swansdown	用于做婴儿衣服的柔软的布料
preselective	预选式的
formalism	虚礼
fossa	沟
fernbrake	羊齿植物丛
microminiature	超小型
mum	菊花
heroicomical	戏谑性的
callous	硬结
pretreatment	预处理期间
correctly	正确
disorder	使紊乱
varangian	拜占庭皇帝的卫士
scherzando	诙谐地
botb	Board
pdsa	Animals
vasculitic	患血管炎的
invert	使颠倒
wanderer	流浪者
renunciative	脱离关系
trichogyne	受精丝
omniscience	全知
jehad	运动
amyloid	淀粉质
redeemable	可弥补
concentricity	集中性
maximum	最高
gastrulate	形成原肠胚
hubris	骄傲
cruces	要点
coat	层
tackle	捉住
persona	人
assuringly	确实地
redbone	美洲赤狗
dismally	阴暗
bowsprit	船首斜桅
salvage	营救
encephalograph	en9sefE`lC^rEfI/
shipshape	井然有序的
mediaperson	通讯员
flavourful	可口
atwitter	兴奋
typhomalarial	伤寒型疟疾
driveability	操纵灵活性
gerontomorphosis	特化进化
needful	需要
mace	权杖
gambly	碰运气
inapplicable	不适用
ciliary	纤毛
shakiness	不稳定
portamento	滑音
neoanthropic	新人
nulliparous	从未生育过者的
glume	颖
ivanovo	伊凡诺沃
flattery	恭维话
mongoloid	象蒙古人的
preteen	青春期前的孩子
pyelonephritis	肾盂肾炎
lynx	猞猁
collectively	全体地
wildfire	鬼火
scalewing	蝴蝶
sphacelous	患脱疽
estafette	骑马的信差
far	远
humdrum	单调的
hypersonic	远超过音速
band	队
bromate	使与溴化合
you	pro
unhinge	使分开
bantin	=banteng
nib	嘴
giddify	使头昏眼花
reship	再上船
informosome	信息体
spirit	热情
complement	补助
dimuon	双μ子
standfast	固执的态度
flanker	侧面部队
natural	普通的
sas	Special
zwickau	茨维考
moonstruck	多愁善感的
proboscidate	有长鼻
bespeak	预订
copperskin	美国印第安人
garment	外表
cretan	克利特岛的
gutter	开沟于
proverbially	如谚语所说的
syphilous	=syphilitic
baiza	派沙
postcranial	颅后的
ingestible	可摄取的
rational	合理的
ground	具有基础
linkswoman	女高尔夫球员
diagrammatic	图表
aiche	of
elspeth	埃尔斯佩思
steering	操纵
enuresis	遗尿
interdigitate	互相交叉
imperceptivity	无感觉
