embryulcia	牵胎法
kyoto	京都
battik	蜡染布
cia	中央情报局
elytra	翅基
sill	窗台
fluffhead	轻佻女子
phototypesetter	照相排版机
reflex	优角
adamite	裸体的人
irgb	Red
futtock	复肋材
record	录音
foretell	预言
poona	浦那
mnemotechnics	记忆术
roscoe	手枪
syllepsis	轭语法
event	事件
transit	运输
testa	介壳
lifeful	充满活力的
intraspinal	脊柱内的
unhasty	慢吞吞
dangerous	危险的
nevada	内华达州
amniocentesis	羊水诊断
obscurity	晦涩
hydrometeor	水汽现象
festive	欢乐
attitudinize	装腔作势
fallacious	靠不住
twinkling	闪亮
ledgy	有暗礁
rafferty	无组织
distressful	不幸的
electrotypist	电版术
zwinglian	茨温利
aaup	University
isapi	Server
faciolingual	面部与舌的
reascend	再上升
revictualment	再供粮食
prelude	序幕
loxodromic	斜航
lecherous	色情的
forehanded	对将来有预备的
paralegal	律师帮办
hendiadys	重名法
apolitically	不关心政治
handtailor	特制
pmkd	postmarked
logographer	编史家
unimpressionable	不易受影响的
early	及早的
mathematical	数学
directness	笔直
unwilled	无意
serious	认真的
threat	威胁
uricosuric	促尿酸尿的
bifilar	双股
kunzite	紫锂辉石
cardiogram	心电图
pure	纯洁
stem	干
touching	至于
retroussage	油墨移印
mediatrix	mediator的女性
honcho	上司
vicarial	教区牧师
crenated	圆锯齿状
skyport	直升机机场
loose	不精确
eradicator	根除的人
semidouble	半重瓣的
wcc	Churches世界基督教协进会
dilettantism	浅涉文艺
recessive	退行的
dialogist	问答者
transom	横梁
overentreat	以恳求把……争取到自己一边
pet	拥抱
flask	烧瓶
bureau	办公署
implausible	不象真实
voltmeter	伏特计
cerebrocentric	人格控制集中于脑
littlish	相当小的
whichever	pro
mym	myriametre
eschatological	来世论的
towmond	1年
cameralistic	财政或经济的
accusatival	宾语
contiguous	毗边的
strict	精确
jet	墨黑的
teleosaur	完龙
denunciate	谴责
screen	拍摄
aerometer	气体计
msee	Electrical
residential	住宅的
spuddy	矮胖的
jim	吉姆
crustless	没有外壳
hemocytoblast	血胚细胞
uninspected	未经检查的
stylistic	体裁上的
curvilinear	由曲线而成
merchantable	可买卖
caulomic	茎的结构的
arrant	彻头彻尾
shealing	=shieling
depositional	沉淀
dumpishness	愚笨
doubtfully	含糊地
upcast	向上
bessarabian	比萨拉比亚人的
putty	油灰
aha	啊哈
eliminant	结式
hide	皮革
porism	系论
noblest	高贵的
haifa	海法
hydrofracturing	水力压裂
rockfish	岩鱼
damoclean	危险临头的
proficiency	熟练程度
deuteranomalous	绿色弱的
canvass	劝诱
soulful	充满热情的
cowhearted	胆小
dastard	怯懦的
whoredom	卖淫
disk	磁碟片
triton	I/O控制芯片集
fenestrated	有孔的
avouchment	保证
weatherwise	至于天气
comfortlessly	孤单
assertative	=assertive
ratomorphic	根据实验鼠的行为来解释人的行为的
ylem	伊伦
