sewage	用污水灌溉
aerate	使暴露于空气中
grace	优美
nidamental	缠卵的
diphyodont	双套牙的
memberless	无会员的
escharotic	腐蚀剂
evocative	唤起的
unco	奇怪
saceur	Allied
silversides	银河鱼
consent	赞成
advance	预付款
integrated	综合的
fat	肥大的
hypocrinism	内分泌不足病
possession	领
antidiabetic	抗糖尿病
rolled	包金箔的
astatically	不稳定
apa	Agency
pomeranian	波美拉尼亚种小狗
subcontinent	次大陆
blastie	丑陋的矮人
quandong	檀香科树木
suit	适合
bullous	大疱的
demos	民众
hardcover	精装的
byre	牛栏
pleasure	愉快
trigynous	具三雌蕊的
appositeness	适切
yachtie	快艇主人
disconcertedly	不安地
impassioned	热情洋溢的
dispatcher	发报机
pacesetter	先导者
spiniform	似脊柱的
obstetrician	产科医师
palmitate	棕榈酸盐
aerial	生活在空气中
unbefitting	不合适的
dmd	Micromirror
enculturate	使适应某种文化
flourish	繁荣
besieged	使烦恼
shaddock	文旦
rdac	radioactinium
evolvement	进化
iotp	Internet
hutchie	临时帐篷
cmtc	Citizens''Military
archly	主要
airmark	在……做飞行指标
quatercentennial	400周年的
gluey	胶的
reinstate	恢复
actinomyces	放线菌
depot	航空站
cephalate	有头
ameristic	不分割
subform	从属形式
immobilism	墨守成规
quezon	奎松城
radicand	被开方数
stably	稳定地
oospore	合子
escapeproof	十分牢靠
butyral	丁缩醛
motorbicycle	两用车
respect	注意
feigned	假的
antidepressant	抗抑郁病药
rochdale	principles罗奇代尔合作社原则
sleeping	睡眠
irrefutable	不能反驳
vulturine	贪婪的
stationary	固定
torsional	扭力
unconventional	非传统
tee	T字形
heard	hear的过去式和过去分词
mammock	碎片
landtax	地租
adsorption	吸附
phlebothrombosis	静脉血栓
robustious	粗野的
recorder	宏录制器
conformably	一致
hump	隆起
hooter	汽笛
coon	黑人
sonarman	海军声纳兵
converge	聚合
vacancy	空虚
gilding	贴金箔
unslumbering	从不睡眠的
authority	典据
devilled	蘸了很多芥末的
panopticon	圆形监狱
seedy	破旧的
exoteric	外界
zygosporic	接合孢子的
metaphorical	隐喻性
machinator	策划者
mystagogical	传授秘诀的
carnally	世俗
devoid	缺乏的
cirrous	有触毛
humanity	仁慈
glossopharyngeal	舌咽神经
suppletory	=supplementary
slobber	淌口水
andromonoecious	雄花两性花同株的
illfare	逆境
patter	轻快脚步声
reign	占优势
sniffle	抽鼻子
exacerbation	激怒
inexactly	不正确
through	完全
generation	一代人
darner	缝补的人
josh	玩笑
homburg	洪堡软毡帽
vlcc	crude
wreckage	遭难
deserved	应
fillip	刺激
without	在外
polarimetric	偏振测定
recalcitrant	反抗
ariot	长得过于茂盛的:
preterlegal	不根据法律的
transpose	移项
unembroidered	朴素的
sprue	熔渣
sack	解雇
proof	校样
isohume	等水分线
micelle	胶囊
apostate	背教
unpriestly	不适于教士
newsroom	编辑部
fractographic	金属断面的显微镜观察
unmew	解放
reforge	再造
lavvy	盥洗室
tuesdays	每星期二
peppercorn	空有其名的地租
monosymptomatic	单症状
insatiable	不知足的
hexapartite	由六部分构成的
stane	=stone
mankind	男子
spirituelle	愉快
brassiness	低廉而华丽
noaa	Administration国家海洋和大气局
present	现在的
farmisht	混乱
lithographic	平版
wale	选择
blastema	原基
concuss	震动
cordiality	诚实
hickey	唇印
unclassifiable	不可分类的
epochal	新纪元
impenitent	不悔悟的
housebroken	管教好
unchurched	不属于任何教会
dragonesque	似龙的
mixotrophic	混合营养的
ellipsoidal	椭圆体
swingeing	极大的
kingship	君主政体
troposcatter	=tropospheric
ironclad	打不破的
debasement	改造
sierran	锯齿山脊区居民
aeolotropy	有方向性
deconvolution	去卷积
penetration	穿过
misdistribution	不当
quindecagon	十五角形
frcp	Royal
rummage	搜出
gyplure	树虫杀
finisher	润饰者
xenix	微软开发的用于PC机的UNIX操作系统
lynch	处以私刑
warrant	批准
baric	含钡的
start	着手
kickup	舞会
cocky	自大
lambkin	宝贝
extraordinaire	特别
bathwater	浴缸里的水
pasteurise	=pasteurize
coagulin	凝固素
writer	作家
whim	反复无常
chauvinistic	盲目的爱国心的
discriminative	有区别
duplicate	副本
apologetically	辩解地
sanguine	血红色的
unassuming	不装腔作势
cinnamonic	取自肉桂的
benedictive	赐福的
exarch	总督
coordinate	整理
doggery	狗群
teleprompter	读稿机
villose	有绒毛的
extensible	可扩张的
overhead	天花板
stirabout	活动分子
refreeze	再冰冻
scotticism	苏格兰方言
acrogenous	顶生的
patrician	贵族
usha	Housing
poisoner	毒害者
antiarrhythmic	抗心律失常
dantesque	庄重
sabbatarian	守安息日的
treatise	论述
interpunction	标点
redpoll	无角的红牛
facp	College
eacm	East
leaflike	像叶子的
juniper	刺柏属丛木或树木
option	选项
infinitesimal	极小
yokefellow	配偶
altarpiece	组塑
basanite	试金石
incognizance	不认识
revolvably	能旋转地
neocosmic	新宇宙论
sackbut	低音喇叭
undefendable	无法防御的
perfunctorily	马马虎虎
galactosamine	氨基半乳糖
cooptative	增选的
primarily	主要
townie	城市生活
ravc	Royal
shoehorn	硬塞进
undo	解开
electrobath	电镀浴
nonparous	未生过婴儿的
kiel	基尔
flank	腰窝
anglocentric	以英格兰为中心的
overcrop	连续耕作使土地贫瘠
acervate	成堆生长的
zwitterion	两性离子
indiction	古罗马每隔15年一次的财产评价公告
alexis	亚历克西斯
formulate	明确地表达
epigeal	浅水生长的
anigh	靠近
jackeroo	新手
rhemish	Rhemish
pinto	黑白斑纹的
pyretic	热病的
pluralise	=pluralize
condignly	应受
pigmentize	获得
colonic	结肠的
ergograph	示功器
syren	诱惑者
interuniversity	大学校际的
combustibility	燃烧性
andante	缓慢地
unconscious	未发觉的
submission	降服
ruggedness	粗野
applique	缝花
pram	RAM
hyperbatic	倒装法的
mothy	多蛾的
campcraft	露营术
breakaway	脱逃
perceivable	可知觉的
jollify	高兴
pythia	皮提亚
