follicle	滤泡
moslemic	伊斯兰教的
dustpan	粪斗
phytobiology	植物生物学
polonaise	波兰连衫裙
expositive	解释的
fissile	易裂
ubiquitarian	基督圣体遍在论者
scillism	海葱中毒
compression	压缩
southernwood	青蒿
thereagainst	与之相反
yugoslavic	南斯拉夫的
whopping	异常地
upflow	向上流
camper	露营者
factualistic	求实精神的
flexure	打褶
looped	成圈
persecute	迫害
wastebasket	废纸篓
grubber	孜孜工作的人
fulgurate	发出电光
clannish	宗族排外
stylish	时髦
retook	retake的过去式
obsidionary	=obsidional
extraocular	眼外
spline	齿条
easterly	向东方的
extracurricular	业余的
ladder	梯子
last	结论性的
injunct	命令
subluxation	不全脱位
subequal	几乎相等
lubricious	不稳定
deathly	象死一样
porphyrization	研细
ceremonial	正式的
speaker	说话者
easement	在他人土地上的通行权附属建筑物
apocarp	离心皮的果实
paperboard	卡纸
phelps	费尔普斯
precaution	防范
extramundane	超越现世
coloured	有色
corpulent	肥胖
dependency	属地
lull	使安静
coloured	有彩色
dewy	如露
hostility	不友善
nasty	威胁
diapente	五度音程
unweave	拆
lumbago	腰痛
frug	跳扭摆舞
unattainable	做不到
mingily	吝啬地
flexible	柔软的
desire	愿望
weather	天气
abolitionist	废奴主义者
christless	违反基督精神
foxed	变酸的
potherb	熟食叶用菜野菜
jellify	成凝胶状
umpire	任裁判
chorten	圣骨冢
smokable	可以点燃抽吸的
performance	执行
scrubby	树丛繁盛的
homolog	相同器官
nitrosyl	亚硝酰基
authorise	=authorize
antisudorific	止汗
affiliation	从属关系
vestibulospinal	前庭脊髓束的
able	能够的
one	一个
pictograph	象形文字
barbary	北非伊斯兰教地区
rann	to
left	左侧
indecency	下流
angioma	血管肿
riverward	向河地
wader	跋涉者
bia	Internet
transit	经过
female	女性的
garnishment	扣押债权的通知
out	出局的
rewind	重绕
eprom	可擦可编程只读存储器
matin	晨歌的
corsican	科西嘉方言的
genappe	烧毛毛纱
microsporogenesis	小孢子发生
effective	有效的
confounded	糊涂的
incendivity	可燃性
pentagram	五角星形
pity	怜悯
health	健康
wring	扭动
suboceanic	洋底
chlorometer	氯量计
contempt	轻蔑
succinctness	简洁
microammeter	微安计
stalactiform	钟乳石状的
pinealectomize	为……作松果体切除术
upbraidingly	谴责地
candent	白热
rejectamenta	废弃物
untillable	不能耕种的
intermontane	亦作intermont或intermountain
fsf	Free
teacherless	无师自通的
punic	没有信义
vitally	生死攸关
martlet	无足鸟
hallmark	特点
sartorial	裁缝的
rowdyish	粗野的
childproof	能防止孩童瞎摸弄
phenolic	石碳酸的
percentum	百分比
careful	仔细的
perform	表演
dispart	分开
hithermost	最靠近的
trigon	三角形
brenner	Pass勃伦纳山口
dreamer	梦想家
rbe	biological
toehold	排除障碍的方法
dogmatical	教理
obstetric	产科的
starting	开始
underground	面下
rishon	里肖恩
daze	眼花缭乱
planetesimal	星子组成的
exoelectron	外激电子
siphonet	蜜管
nagged	经常遭责怪的
clean	干净
fox	使变酸
unfurl	展示
shavuot	=Shabuoth
crases	crasis的复数
cavortings	轻浮行为
phonographic	留声机
cheddite	谢德
cheliform	螯状
irruption	急速增加
atman	生命的本源
cultrate	锋利且尖锐的
quadrate	长方形的
retirement	退却
conciliative	安慰的
austerity	节俭
tolerant	容忍的
activation	活化
slavophil	亲斯拉夫人
planigale	扁头袋鼠
bingle	安打
lade	装载舀出
concutient	受到震荡性撞击的
hurst	小林
fauvism	野兽派
coring	去除中心部份
tough	强壮的
puncturable	可穿刺的
punitive	惩罚性
outshoot	长出
smart	轻快
kiangsi	江西
clathrate	窗格形
notion	观念
newsvendor	书报摊贩
propellant	推进
scatterometer	散射仪
conspue	唾弃
infatuated	昏头昏脑的
physiotherapy	物理疗法
delir	发狂
odontornithic	齿鸟类
submissiveness	柔顺
unpaid	未付款的
antiallergenic	抗变应性
zipless	短暂而猛烈的
clericate	牧师的职位
culpable	该责备的
gym	体育馆
apostatize	变节
autocephalous	自治
monopolistic	专利的
sprocket	链轮齿
hematoblast	血胚细胞
uninjured	未蒙损失
placentology	胎盘学
apologetically	辩解
pentalogy	互相关联五部分的组合体
gauziness	似薄纱的状态
sentimentally	富情感
titular	有名无实的
toque	无边女帽
circumplanetary	围绕行星
typo	排字工
squally	天气愈变愈坏
available	可利用
instructor	教师
antique	古时的
chromophile	染性
ashy	苍白
clavicular	锁骨
bumptious	盲目自大的
distressing	悲伤
cemental	白垩质的
somersault	翻筋斗
bionic	利用仿生学的
abrupt	生硬
moderatism	温和主义
uneffectual	=ineffectual
fearful	吓人
veronal	巴比妥
distractible	易于分心
slavophil	崇拜斯拉夫等者
encampment	营地
rattail	没毛的马尾巴
msj	in
superfluid	超流体
arithmancy	数字算命法
invariable	不变量
cms	color
rhizomatous	下茎
microslide	显微镜载片
decillion	100万的10次乘方
frowsy	不整洁的
armature	牙齿
hieland	易上当
oviduct	输卵管
schnozzle	鼻子
crackajack	杰出
femininely	女人似
talus	踝
spadework	基本研究
unleavened	未受激发
approbate	认可
prelimit	事先限定
plane	平面的
poikilothermic	变温的
sir	阁下
weltpolitik	国际事务
antipathetic	格格不入
traumatic	外伤的
stylistic	体裁上
fixup	固定
cisrhenane	莱茵河西岸的
bill	清单
tell	吩咐
drossy	浮渣一样
hairy	多毛的
gnarl	生节
hypercorrect	纠正过头
discursively	东拉西扯
carob	长豆角
beloid	前窄后宽的
cryptography	密码使用法
fool	白痴
tripper	旅行者
palm	棕榈
lexic	=lexical
ratine	珠皮大衣呢
fukuoka	福冈
suzerain	庄主
corpus	尸体
hesitatingly	踌躇
apriorism	先验论
triform	以三种形式存在的
slender	微薄的
nabobess	女财主
walker	徒步者
chancellery	大臣
slan	loco
redemptive	用于补偿
cornball	似乡巴佬的
