grassiness	绿色
primary	主要
uncreased	未弄皱
forbearing	忍耐
sgi	美国图形工作站生产厂商
ukaea	联合王国原子能管理局
forfex	剪刀
human	人类的
unput	未放置的
record	履历
dolerite	粗粒玄武岩
lark	玩乐
diagnose	诊断
paperbacked	纸面
bulbaceous	=bulbous
sessioneer	=session
ripsnort	喧闹地行进
dump	倾倒
knapsack	背包
arenicolous	生长在沙中的
omnicompetent	有全权的
draught	拉
seizor	扣押者
photoheliograph	太阳
downfall	衰败
soloistic	独唱的
marblehearted	铁石心肠
serfage	农奴地位
philomel	夜莺
themselves	他们亲自
mauley	拳头
unineme	单线的
ruckle	起绉褶
samel	半烧
tiffin	吃午饭
lubricative	有润滑作用
arachnoid	蛛网状的
ideaistic	观念的
sauroid	蜥鱼亚目的鱼
screwball	怪僻的
screwy	扭曲
renascent	复活的
potboy	酒馆的侍者
peroxyacetyl	硝酸过氧化乙酰
morellian	莫雷利批评法的
unef	Nations
semifinal	半决赛
factoried	工厂林立的
osprey	白色的羽毛
kyack	驮袋
proteiform	多型的
oakley	Oakley
gasiform	气体状的
occultism	神秘学
cornetto	小铜喇叭
outeat	吃得比……多
kitty	Kitty
angelic	天使的
simple	简易
rodent	啮齿目的
choreographic	舞蹈术
disputability	有讨论余地
start	惊动
trophy	战利品
achaean	希腊的
lionlike	狮子般
prostration	俯卧
physostigmine	毒扁豆碱
gestate	孕育
retch	恶心
longshoreman	港口工人
tafia	塔非亚酒
corporealize	使形体化
several	单独
subcrust	地壳下地层
musjid	=mosque
unforested	未造林的
worry	使苦恼
slimly	微弱
budding	少壮
totem	标识
quantize	使量子化
hematopoietic	生血
bucketeer	股票投机行的老板
sleepless	失眠
radiophonics	无线电发出的声音
silverless	无银的
physicky	药物似
tap	选择
garnett	扯松
scrambling	不规则性
yafo	=Jaffa
glamor	魔法
indivisible	除不尽
conformism	盲目因袭的态度
postscript	后记
trot	疾走
nonmonetary	非货币的
numerical	数字
afterdeck	后甲板
alkyl	烷基
vmtp	多用报文处理协议
undersurface	下面
generalization	广义性
stumble	绊倒
fagot	束
waveless	平静
static	静力
cunctation	迟缓
compellent	有强烈吸引力
grim	严酷的
north	在北方
expeditiousness	快速
contubernal	亲密的
persevere	坚持
npcf	全国控制污染基金会
perigynous	周位
undersleeve	内袖
requiem	安灵祢撒
verjuiced	酸的
autolithograph	直接苀I/
tribal	部落
scale	数值范围
tridimensional	`traIdI9menFl/
crisis	历史上的紧要关头
turning	旋转
transitoriness	短暂
uncarpeted	未铺地毯
musingly	冥想地
hera	Explosive
vesical	膀胱的
demented	失去本性
hormuz	霍尔木兹海峡
apposite	适当
parameter	参量
rhinovirus	鼻病毒
unpoetic	无想象力的
gppm	Graphics
orismology	术语学
material	具体的
coding	译码
bonhomie	敦厚
minor	未成年的
rough	粗略叙述的
traductor	邮包吊放装置
gasdynamic	气体动力激光器
commy	共产党员
debut	开张
birch	桦树
merogony	卵片发育
thrust	强行推进
teaspoonful	一茶匙的量
ukase	谕旨
skunk	臭鼬皮
demagog	群众领导者
hakeem	学者
ragger	新闻记者
doloroso	感伤
oblong	椭园形
tournament	锦标赛
excusal	原谅
myxoedema	黏液水肿
weightily	重要地
galwegian	加罗韦人
directoire	执政内阁时代式
idyllist	田园诗人
dairy	鸡蛋等的商店
excess	额外
undetermined	未确定
umpire	作裁判
seat	场所
underpass	高架桥下通道
meanly	吝啬
golly	神
metathesis	交换
peradventure	疑惑
brachydactyl	短指
amniography	羊水照相术
cheesecake	半裸体或露出曲线美的女人照片
degrading	可耻的
siren	警报器
vertumnus	威耳廷努斯
quoth	说
knurly	多瘤的
vacuous	空洞的
forgivingly	慈悲
contretemps	不幸的
accessible	易接近的
garibaldian	加里波第的
lionlike	狮子般的
intercellular	在细胞间的
unreserved	不隐瞒
capacious	广阔
