wettable	可霑
stanch	忠实
baccate	浆果状的
trioxide	三氧化物
swat	猛击
superduty	超级耐高温的
galloot	愚笨的人
cathartic	导泻的
unthinking	不留心的
coasting	沿海贸易
auralize	在心灵深处听到
hotter	热
sheerhulk	人字起重架船
device	发明物
smear	涂污
inlook	内心省察
beelzebub	魔王
overmodest	过分谦虚
becloud	蒙蔽
fairyhood	小神仙
gallantly	漂亮
tornado	大雷雨
ingrained	根深蒂固的
mepacrine	麦帕克林
involvement	连累
equipotential	有相等潜力
beezer	鼻子
guileless	不狡诈的
enterologic	肠病学
curvaceous	肉体美的
genicular	生在关节上的
bulletheaded	圆头
wilson	威尔逊云室
include	包括
ligeance	领
set	调整
liable	很有可能的
tempt	引诱
asid	Designers
avengingly	复仇
face	承认
argumentum	议论
sorbonnist	=Sorbonist
dad	爸爸
vapidly	没有生气
dare	敢
excommunicate	被逐出教会
northwestward	向西北的
optometer	视力计
preventible	可预防
rathaus	镇议会厅
bunko	诈欺
riba	British
abasement	降低
superserviceable	过分殷勤
epileptiform	癫痫样的
extracanonical	经典以外的
dissociably	不调和地
agitational	煽动性
gulfy	多旋涡
unplagued	未染瘟疫
racialism	种族主义
hypothetical	爱猜想
uprear	养育
cordial	诚恳
guggle	人高兴发出的咯咯声
whistle	汽笛声
monestrous	=monoestrous
trustfully	信任
laundry	洗衣店
unitar	United
organophosphorous	=organo机磷
nye	=nide
untrue	不真实的
sneeringly	轻蔑地
octocentenary	800年的
exhaust	排气
zoroastrianism	火教
negationist	否定论者
unbirthday	非生日当天送
structure	构成
coupist	政变支持者
spindle	纺锤
generic	非特殊
mismanage	办错
corriedale	考力代羊
tony	Tony
rabbinate	犹太法学博士们
catalogic	目录
bfa	Bachelor
luster	光泽
entrap	诱陷
wrongfully	不正当
taxi	出租汽车
omnivorously	随手地
liane	藤本植物
cooner	猎浣熊之猎犬
bothnia	of
fortifiable	可以弄巩固
sidetrack	旁轨
prognoses	预测
outdoor	户外
eth	=edh
outdoorsy	户外的
honduranean	=Honduran
enteritis	肠炎
penitentiary	监禁的
slavist	=Slavicist
repugnant	不一致
incursion	袭击
threadlike	线状的
mesocyclone	中气旋
bally	非常
ialc	仪表进场和着陆图
proportionably	成比例
summerset	=somersault
numerical	用数表示的
nsa	Agency
species	种类
virus	毒害
detoxify	使解毒
controllable	可管理
infusorium	纤毛虫
bimorph	双压电晶片元件
upstate	北部的
hematozoon	血寄生虫
pimply	有疙瘩的
scopulate	有花粉刷
attentat	犯罪企图
unambivalent	明确
virement	转帐
regard	尊重
jotunheim	巨人之家
meridian	正午的
nc	Computer
octothorp	"#"号
dummkopf	傻瓜
hopeful	怀有希望
tall	夸大地
plasmasol	原生质溶胶
primitive	远古
paraprotein	副蛋白
colorblind	色盲
aeromechanic	航空力学
lovable	可爱
diphyletic	二源的
sweepup	大扫除
shortweight	重量不足
involute	消失
overrule	制服
blacketeer	=black
overcharge	讨价过高
kimono	妇女穿着的宽大晨衣
parameterize	=parametrize
exultant	非常高兴
disagreeables	不愉快的事物
gynecopathy	妇科病
muzzy	酩酊
quadrifid	四分裂
hearth	炉膛
tousle	糟乱
sigil	印记
recreationist	作消遣的人
cytochemical	细胞化学的
atmospherical	气压的
vasopressor	血管加压
dtv	desktop
clonal	无性系般
sphere	范围
apanage	属
hotblood	易激动者
effective	有效
apocalyptic	启示录的
dogmatical	教义
daintily	讲究
tankfuls	一槽的量
ukaea	Authority
nonneoplastic	非肿瘤引起的
vicarial	代理教区牧师职务
cloud	烟云
venerable	庄严的
jolley	辘轳车
alleviate	使易于忍受
echograph	音响测深自动记录仪
extremity	非常手段
aerify	掺气于
paperful	一纸包的量
delivery	财产等的正式移交
topnotch	第一流
showroom	陈列室
hawking	利用鹰行猎
haemic	血性
carry	运送
bisection	对分
dislikable	使人厌恶
doubloon	从前西班牙金币的名称
anergy	无力
gallop	急速进行
negentropy	负平均信息量
njorth	分配财富之神
befittingly	适宜
gendarme	警官
garrett	加勒特
balmacaan	宽身连肩袖大衣
disturbedly	被打扰地
unimer	单聚体
typhogenic	引起伤寒的
incoagulable	无法凝固的
diluent	稀释药
overtime	延长时间
stingy	小气的
crossbar	闩
sniperscope	夜袭镜
kindjal	高加索双刃刀
hamburger	碎牛肉
indecency	不适当
sigmoid	S形的
micromanipulation	9maIkrEJmE`nIIpjJ`leIFLn/
pout	绷脸
sempiternal	永久
orifice	孔
mib	Management
rocambole	胡蒜
neoanthropic	智人
ciliary	睫毛
verbal	口头的
thermoform	热力塑型
inapposite	不合适的
glycerin	甘油
osteal	骨的
come	开始
spiculum	骨针
chloritic	亚氯酸盐
deductive	推论
defatted	脱脂
turnip	芜箐
pantopragmatic	爱管闲事的人
outrange	在射程上胜过
furbelow	饰以俗丽的装饰
twentymo	二十开本
pyrex	其商标名
scatter	驱散
pierage	码头费
emesis	呕吐
aspire	立志
fee	费
regardlessly	毫无价值地
ayh	Youth
hindustani	印度斯坦的
droit	所有权
pneumatic	有气胎
second	片刻
unmeasurable	无限的
printmaking	版画复制
wholescale	大规模
tenner	十元纸币
contraindicate	显示不当
great	顺利
drunk	的过去分词
polemic	争论的
neutralist	中立主义者
sark	衬衣
amok	杀气腾腾
uselessly	无益
loris	尤指懒猴
polyhedral	多面的
semirural	半农业的
jaques	莎士比亚喜剧
underage	未到法定年龄的
perch	杆
