inappropriate	不相称
erotology	色情文艺
monochromatic	单频
rail	扶手
earthling	世人
variably	易变
oaten	燕麦的
underclass	一、二年级学生
boisterous	狂暴
fargoing	范围广泛的
idiophonic	非膜质打击乐器的
nondestructive	非破坏性
confounded	糊涂
handedness	用右手或左手的习惯
declarable	应申报的
agony	极大的痛苦
unacted	未演出的
saliferous	含盐的
warrior	勇士
livingness	活力
childbed	分娩
subjectless	无主题的
undisturbed	镇定的
healthy	健康
tinnient	丁当响的
struggling	努力的
sputter	发劈啪声
idle	无价值的
agonistic	动机争胜性的
skyward	向上的
fjp	Jewish
gradualness	渐次
joint	共同的
preconquest	被征服以前
grillroom	烤肉馆
hong	洋行
service	耐用的
isa	工业标准结构
slot	硬币投币口
cautious	谨慎的
whistle	口哨
succulently	有兴趣地
fijian	斐济人
rba	Artists英国皇家艺术家协会
renegue	出牌违例
brackish	有盐味的
accrete	使连接
theocrat	神权政治家
frondent	叶子很茂盛的
polycystic	多囊的
forehanded	得时机的
subapostolic	十二门徒之后的
idea	思想
corollaceous	象花冠的
misanthrope	不愿与人来往者
jowl	面颊
saving	挽救
bacony	脂肪质的
jibe	与……一致
bonded	有担保
charrette	专家研讨会议
opiumize	用鸦片麻醉
tiepin	领带别针
oligochrome	只用少数颜色
hohokam	霍霍坎文化
synovial	滑液的
coition	交媾
fond	温柔
vow	誓约
militarise	军事化
frailty	过失
unaware	不知道的
kaleyard	菜园
approximative	接近
anaemic	贫血
nondecreasing	不减少的
expound	详细说明
interior	内部的
transmigrator	移民
ablare	喧哗地
wuzzle	混合
bmta	Association
confluction	融合
jeer	嘲笑
ultrastable	超稳定的
fiery	火焰
asianic	小亚细亚
undefendable	无法防御
monofier'	NULL)
roadster	跑车
guadeloupe	瓜德罗普岛
smalt	深蓝色
pharmacy	配药业
watertight	不漏水的
preoccupant	抢先占据
tuft	一蔟
proximal	最接近的
underwork	下层结构
xeromorphous	旱生型的
razorback	狭尖的背脊
obtrusively	莽撞
woolgathering	空想的
inexcitable	难以激动的
tripterous	三翅的
loadage	装载量
hooflet	小蹄
definitive	确定的
chloasma	黄褐斑
hesperidium	柠檬果
solunar	日月共同作用引起
phil	菲尔
fragment	断片
electriferous	带电的
dextral	用右手
trapes	懒妇
hereditarily	遗传
exospheric	外逸层的
zany	愚蠢
adjournal	=adjournment
triploid	三倍性
arid	贫瘠的
mature	使成熟
cocarcinogen	助致癌原
sombre	昏暗
eclat	荣誉
diabetic	糖尿病患者
contradance	对面舞曲
princesse	紧身连衣裙的
nudibranch	裸鳃亚目动物
archaistic	古风的
unwilling	不愿意
eidetically	仍在眼前的
imprinter	压印机
lactoproteid	乳蛋白质
cambogia	藤黄
whirl	—连串快速的活动
candid	坦白
technocrat	专家政治论者
penthrite	季戊炸药
nrotc	Naval
hydrotaxis	趋水性
bejewlled	以珠宝装饰的
cherrystone	小圆蛤
leporide	比利时野兔
autocephalous	独立
aposematic	警戒色
mediaeval	中古的
surloin	牛的上部腰肉
biased	有偏
ramp	使有斜面
flapjack	烙饼
iconometer	直视取景器
endogenic	内生的
imply	暗示
ocotillo	马鞭
circumoral	在嘴边的
vb	Visual
sinuous	错综复杂的
eraser	橡皮
lambskin	羊皮纸
afterdamp	爆发后的毒气
overturn	倾覆
catastrophist	灾变说者
ludditish	勒德主义的
refer	涉及
overperform	超剧本表演
webmaster	WEB站点管理员
vulgate	通行的
fluidify	使成为流动
plover	珩
blanketflower	=gaillardia
balmy	止痛
chart	海图
dislike	讨厌
nhra	Association
cpaffc	ForeignCountries
pure	纯的
flush	泛滥
truant	逃避者
rhonchi	诊音
photoflood	照相泛光灯
swagger	虚张声势吓人
inextinguishable	不能消灭的
ndis	Standard
sole	单独
cinematic	电影
sticking	粘的
primy	在最佳期
marquisate	侯爵领
diphenylaminechlorarsine	二苯胺氯胂
cervelat	熏香肠
unfenced	没有防备
iktas	物品
sparsely	稀疏
significant	重要的
astronomy	天文学
symptomatic	征候
glutton	暴食者
ned	Edmund
tinworks	锡厂
incretionary	a
antisymmetric	反对称
jazzetry	爵士乐伴奏的诗歌朗诵
murphy	土豆
jokey	好开玩笑
palatinate	领
brambly	有刺
zi	interior后方地带
atherogenesis	动脉粥样化形成
dish	提出
omnipotence	无限威力
syringomyelia	脊髓空洞症
unsolicitous	不关怀
mildew	霉
gymkhana	竞技场
aphicide	杀蚜虫剂
macedoine	混杂物
parterre	花坛
oratrix	=oratress)
tail	后部
limnetic	淡水
dissociate	分裂
piffle	废话
sss	Service
tuque	双层编结御寒帽
manoeuvre	用策略
hanaper	文件筐
transmontane	野蛮的
adolescent	青春的
attractant	引诱剂
bucentaur	半牛半人的怪物
semisecrecy	半秘密状态
cold	寒冷
spoonful	一匙
clarionet	竖笛
fx	foreign
coverlet	床单
pull	拉
emulate	仿效
afebrile	无热的
telecommunication	电讯信局
washwoman	洗衣女工
hypochromia	血红蛋白过少
strophe	古希腊歌队唱的歌
lamenting	悲哀的
zoografting	动物体素移植术
cerite	铈硅石
angiosperm	被子植物
preservatory	=preservative
gambit	开始
uranide	铀系元素
concoct	调合
confine	禁闭
thrustful	积极进取的
fancied	被特别爱好
fining	澄清
erect	树立
unentangled	不纠缠的
nematocystic	刺细胞的
elude	躲避
earworm	一种有害幼虫
rampant	猖獗
ptyalism	流涎
ndea	Defense
impregnate	怀孕
ultrared	红外的
stupefactive	使人麻木的
subderivative	次派生词
strisciando	滑唱
shoring	利用支柱的支撑
ppt	thousand
collywobbles	肚子疼
tcs	control
icosahedron	二十面体
invidiously	惹人怨恨
wire	电信
glazed	光滑的
consuetudinary	习俗的
proclamation	宣布
incorruptibly	不被腐蚀
incipient	初始
night	夜
nucleochronometer	核子年代学标准
haddingtonshire	哈丁顿郡(即东洛锡安郡
pose	摆姿势
modify	更改
satisfaction	满意
idiorrhythmism	供独自修行的僧侣居住的僧院
vibist	=vibraphonist
lymphad	单桅单甲板平底船
preman	史前人
