wae	Enviroment
saceur	Europe
roentgenoparent	用X光可以看见的
null	空
primarily	根本上
inappreciative	不欣赏的
residue	剩余物
frontward	朝前地
grandeur	庄严
sapful	多树液
climber	登山者
snobbish	势利的
hyacinthine	风信子色
fast	绝食
krooman	克鲁人
resting	不动的
perspicuity	明白
collocable	可组合
fulminatory	爆鸣的
cut	切口
schizophrenese	精神分裂症性言语
attitudinal	态度的
quadrillion	千之五次方
welsher	骗人
illegitimacy	反常
theanthropic	具有神人两性的
kweilin	见Guilin
catalepsis	全身僵硬症
spur	距
valiantly	勇猛
prehnite	葡萄石
sanguine	满怀希望
pinstripe	细条纹
hairiness	多毛的性质或状态
semifarming	半养殖业
imprecise	不精确的
andantino	微急地
proleg	前脚
damageable	易损害
delate	弹劾
unenvious	不吝惜的
homeward	在归途上的
masher	调戏妇女者
subthreshold	不足以引起反应
fibula	腓骨
southerner	居住在南方的人
ln	行
unattended	未被注意
pending	未决
rubigo	过氧化铁
nawab	印度行政长官
crankish	暴躁
duplicated	复制出
somasteroid	体海星纲的
sophistic	诡辩的
bureaucratese	官腔十足的文体
ethinyl	=ethynyl
monobuoy	单点
rehearse	排演
baldness	枯燥
diriment	使无效
medical	医学
haemocytoblast	原
variedly	改变
rhodic	高价铑的
berme	崖径
circumambient	周围
unreported	未经报道
decampment	撤营
schizoid	精神分裂症
cyesis	怀孕
antiviral	抗滤过性病原体
hypermotility	运动过强
stoical	坚忍
decimal	小数的
restructure	调整
floating	不固定的
fls	Society林奈学会会员
snitch	偷
unsegregated	没有种族隔离
orthodontia	正牙学
hexachlorethane	=hexachloroethane
nocake	炒玉米粉
nitid	发光
isacoustic	与等声强有关
unco	不可思议的
unfeigned	真实的
wakeful	不能入睡的
diapsid	具双窝的
hoistway	起卸口
cycling	骑脚踏车兜风
unconspicuous	不明显
urologist	泌尿科医师
lay	打赌
amylobarbitone	戊巴比妥
listee	登记簿上列名者
rabbet	榫接
curmudgeonly	小气的
laputa	勒普泰岛
ferryboat	渡轮
depopulate	人口减少
gold	金制的
catching	有魅力的
vulturous	贪婪
lutrine	象水獭
despiteously	可恨地
available	接受探访的
gemmate	有芽
living	起作用的
idiochromatic	自色的
immediateness	直接
adhesive	粘合剂
during	在……的期间
denobilize	降为平民
unco	不知名的
xanthopsy	黄视症
unchain	解除
renown	名声
csma	Avoidance
cupric	二价铜
bloodless	不流血的
trash	无价值之物
vanishingly	难以察觉地
chortle	得意的高笑
servomechanism	自动控制装置
skookum	极好的
total	整个
bolt	上门闩
counterfort	扶垛
denasalize	使鼻音减低
inapplication	懒惰
harebrained	轻率的
blowpipe	吹风管
eighthly	第八地
stupefacient	麻醉药品
emprise	冒险
republican	有关共和
tubular	管状
russetish	略带红褐色的
friendliness	亲密
myosis	瞳孔缩小
stogie	笨重的长靴
tryst	约会
tautologist	反复用同义字的人
soigne	整齐的
defaecate	通便
narrowcast	用电缆电视播送
intomb	埋葬
reproachingly	非难似
urination	撒尿
geraniaceous	牻牛儿苗科
rideress	女骑者
scarce	缺乏
renominate	再任命
interfacial	面间的
subacute	亚急性
brogan	粗而坚固的短鞋
preprimer	学龄前儿童读物
sprinter	赛跑选手
ascending	上升
sodamide	amide
demophil	人民之友
chelation	螯合作用
level	级别
cyprian	淫荡的
antonymy	反义词组
retrochoir	的后部
ioc	Committee
finish	完成
boulevardier	经常逛林荫大道的人
nation	国家
uncreolized	未克里奥尔化
trigoneutic	一年三化
conceptive	有想象的
heterochthonous	不是土生的
snog	接吻
rsv	Revised
unthought	未加思考的
hurtling	疾驰的
nonpositive	负值
crackpot	想入非非的
tactually	触觉器官
cerdar	雪松类植物
incommensurable	不能比较的
competition	竞争
prominence	显著
abide	遵守
hardhat	需要戴安全帽
currejong	=kurrajong
ammon	阿蒙神
castiron	健康的
confessingly	像忏悔者一般
enticement	怂恿
hoarsely	嘶哑地
keratoid	角质
airy	轻快的
portion	一部分
vesicatory	发泡药
cinc	chief总司令
penumbra	半影
colza	菜子
brigand	土匪
diffused	扩散的
brazenly	厚脸皮地
dividend	股息
mean	有意义
fluid	可改变的
homonuclear	共核
pedes	pes
incongruent	不一致
rockies	洛矶山脉
dunce	傻瓜
peg	固定
pandora	潘多拉
fourfold	四倍
unvalued	未评价过
semiuncial	半恩锡尔字体
outcrop	露出地面的岩层
subjacent	在下级的
hummock	沼泽中的肥沃高
naughty	不听话
darkling	黑暗的
stolidly	迟钝地
trial	试验
lactonization	内酯化
pock	麻子
imbosom	怀抱
halloa	喂
roi	Royal
polyonymous	多名
coagulant	凝结剂
sphagnum	泥炭藓
inflictive	使人难过的
boomlet	略为繁荣
tantivy	狩猎时指示快追的喊声
prelicense	发放执照前
odic	颂歌的
slipsheet	插页
plant	工厂
eusocial	完全社会性
synch	=sync
ballistically	发射
vop	original
polypus	水螅
petrifactive	石化性的
backless	无背
pondweed	水池草
mopey	没精打采
ellis	埃利斯
encephalization	脑形成
quattuordecillion	一后有八十四个零之数
antifertility	避孕
drencher	倾盆大雨
whiteout	因暴露于恶劣环境而引起的临时性失明
pruina	粉霜
steep	沉浸
flagging	委顿的
commissariat	粮食
fiacre	小型出租马车
blindstory	暗楼
intrusive	打扰
www	World
moneyless	一文不名的
mock	模仿
hydrarthrosis	关节积水
taper	锥形
squirarchy	=squirearchy
excursion	离题
sunfish	翻车鱼
liver	居住者
theileriasis	泰勒尔梨浆虫病
lumbricoid	蛔虫
duckpins	鸭柱球中所用的短柱
intuitionism	直观论
petrosal	岩石般
notion	意见
lms	Mathematical
hieroglyphical	象形文字的文章
pernoctation	彻夜不眠
luster	光彩
illusory	幻影的
salination	盐化
incoagulable	无法凝结的
concur	同时发生
upperclassman	高年级学生
stuffless	单薄
basketballer	篮球
unexpected	想不到
exceptant	例外
love	爱情
anthropological	人类学上/人类学上的
hypolydian	副利第亚调的
