picket	警戒哨
rampage	乱闹
homeliness	粗野
taps	熄灯号音
pasture	牧
dat	Digital
rampant	猛烈的
nymph	美丽的少女
atheistical	无神论的
matin	晨祷
provisory	有附文
tainture	污点
culmiferous	含有碳质页岩的
drugola	以毒品形式付给的贿赂
bioorganic	生物有机的
lacunose	凹陷
pyrethroid	合成除虫菊酯
aficionado	迷
hygrostat	测湿计
beerburst	bust
trench	掘沟
pronominal	代名词的
sheeplike	绵羊般
western	西
hierocratic	僧侣统治
belay	把绳索拴在系绳栓上
liberator	解放者
okay	好的
yore	昔时
pitchy	漆黑的
cythera	塞西拉
airborne	空气传播的
otorrhea	耳液溢
prestissimo	最快速度
bailiff	镇长
hump	弓起
enlightenment	教化
scenography	配景图法
panini	帕尼尼
waste	废弃
chanson	小调
jake	满意的
carburization	渗碳
particularity	特性
adi	acceptable
wristlock	扭曲对方手腕的一招
biceps	二头肌
acpi	Power
dragonish	凶暴的
stealing	有偷窃行为的
wandering	漫游的
pumice	用浮石去污
unwarrantable	不正当的
organic	组织
desired	渴望的
boutique	专卖流行衣服的小商店
lexigraphic	词素文字的
zoopaleontology	古代动物学
reflectional	反映的
donnish	象大学宿舍的学监一样的
nodular	小瘤
minicell	小细胞
dullish	昏暗
pasturage	放牧
glycocoll	氢氨乙酸
skill	巧妙
palaeoanthropic	古人的
caustic	刻薄
nae	决不
axinite	斧石
unexpired	未到期
foreboding	预兆
scorodite	臭葱石
undivided	专一的
arsenical	砷的
ecliptical	食
effectual	有效
guidelines	指导方针
weak	无力的
breaststroke	蛙式
monolatrist	单拜一神教教徒
snaky	弯弯曲曲的
terrorism	恐怖行动
philadelphia	费城
fuliginous	煤烟色
nonpathogenic	不致病
injured	受委屈的
thine	pro
autogenetic	自生
unbranded	无物主的
occlude	使锢囚
doughboy	步兵
clypeiform	有唇基的
conversus	教友
sclerotic	硬化
objurgatory	非难
fun	玩笑
photoscanner	光扫描器
fleckered	有污点的
windowsill	窗沿
crisply	易碎地
impavid	无畏的
slaky	多烂泥
sulfatize	=sulphatise
decemvirate	十大官之职位
hypoglycemic	血糖过低的
comedones	黑头粉刺
alluvium	冲积层
leiotrichous	有直发的
macromolecule	巨大分子
at	Austria
ideologize	作思想分析
ascot	宽领带
dissolutely	荒淫
aluminium	铝的
cancha	手球场
inoxidized	未经氧化
extinguish	压制
avariciously	贪财地
striped	有斑纹的
canape	夹鱼子或小鱼的烤面包
antemeridian	上午
surplice	白袈裟
longipennate	长羽的
spud	马铃薯
hartshorn	氨水溶液
ccco	for
gypsite	石膏土
grivet	黑长尾猴
prelexical	词前的
sinister	险恶
floodwall	防洪石堤
insymbol	内部符号
windbaggary	空谈
glossarial	词汇的
aphrodisiac	春药
stump	截去
lateroversion	侧倾
profitability	利益率
demanding	过分要求的
hateful	可恶
assuage	缓和
raid	Indepnedent
finlike	鳍状的
trame	=tram
nanoid	侏儒样
imaginabale	可想象
aciculate	粗面的
reconstituted	再造
lindesnes	林德斯内斯角
chaldaic	古巴比伦人
phycomycetous	藻菌
humify	使湿润
uneventful	平静无事的
sectionalism	地方主义
msdn	Developper
random	随意
televisionless	无电视机的
nerd	讨厌的人
temper	回火、锻炼
nitrometer	测氮管
validly	妥当
reformate	重整油
marshall	=marshal
silanize	使硅烷化
leapfrog	交替前进
crewmate	同船工作之船员
corticate	有树皮的
cocky	骄傲的
cote	栏
rhetorically	讲究修辞
dateline	日界线
unembellished	未修饰的
belief	信任
vulturine	秃鹰似的
appallingly	令人毛骨悚然地
retirement	撤退
fodgel	丰满健美的
uraemic	尿毒症
gearless	无齿轮
vigo	比戈
extendible	可伸长
grandiloquent	浮夸
dcmg	Dame
disclose	透露
souse	被浸透
gnarl	扭
brassy	象黄铜
arbour	凉亭
scribble	潦草写成的东西
airliner	客机
snubbingly	厉声制止
insensibility	不关心
sordid	肮脏
cosily	舒适地
steady	坚定
zealotic	热心者
majestic	宏伟
airlog	飞机计程器
honeymoon	蜜月
angel	完善可爱的人
frostbitten	生冻疮
crosswise	交叉地
baroque	巴洛克时期艺术和建筑风格
atremble	颤抖
blustering	狂风大作
bndd	Bureau
counterbalance	使平衡
record	记录
netfs	Television
safeblowing	炸开保险箱行窃的行为
waterishlogged	吸饱水的木材
stria	细沟
ultramicrochemistry	超微量化学
ankerite	铁白云石
hippic	马
threesome	三人一组
pentomic	五群制
chief	最有价值的部分
exorbitancy	不当
qnp	knight''s
markhoor	捻角山羊
carbonaceous	碳的
specific	特效药
youthfulness	少壮
fosterer	鼓励者
modestly	适当
adviser	顾问
dutifully	忠实地
intransitivize	使不及物化
areocentric	以火星为中心
behest	要求
pear	梨树
boresome	烦人的
supermalloy	镍铁钼超导磁合金
weak	无力
provincial	省的
greener	生手
corticole	生于树皮上的
iranian	伊朗人
therme	=therm
papaveraceous	罂粟科
counterbalance	势均力敌
costotome	肋骨刀
moral	精神的
serotonergic	血清素激活
aps	Advanced
currier	鞣皮匠
undependable	不可靠
meed	奖赏
choregus	合唱团之指挥
hesitatingly	支吾其词地
homeward	向家
start	惊起
sexualize	使有性特征
deicide	杀神者
soluble	可溶
hershey	bar
homburg	卷边男毡帽
morning	上午
snick	刻痕
lsat	法学院入学考试
orthoepic	发音正确的
fishfag	渔妇
outfox	以计取胜
hydroxy	羟基的
singular	非凡
amitrole	氨基三唑
talonavicular	距
epical	英勇的
inferable	能推论
diomedes	狄俄墨得斯
sweated	使用血汗劳工
gravific	产生重量
pituitous	黏液
juvenal	羽毛未丰的
ungual	爪似
flickeringly	闪烁
aphthong	不读音字母
antalkaline	抗碱
ginnel	小巷
troffer	凹形反光槽
pillared	有柱
brownette	棕发女人
fumatory	烟薰的
doited	老糊涂
thickheaded	笨
cybernate	使受电脑控制
transcurrent	横推
grocery	食品杂货店
result	计算结果
conclusive	确实的
