outercoat	轻薄大衣
baric	钡的
eminence	崇高
apatetic	拟色的
parthenon	帕台农神庙
meliorative	改善
hornful	一个角制容器所容纳的量
tinty	色彩不调和的
computative	喜欢计算的
quadripartite	分成四组的
submissively	顺从
folknik	民谣迷
aep	AppleTalk
untenanted	无人租赁
tapping	出铁
cleocin	氯林可霉素
gallantly	献殷勤地
exponential	指数
hoyt	霍伊特
diagonal	对角线的
hypertext	超文本
aloetic	芦荟制的
pathfinder	探险者
rainily	下着雨
backbiting	诽谤
snorer	打鼾者
thickleaf	青锁龙属植物
egghead	理论家
restoration	复职
sudatorium	发汗室
optimal	最理想
unfurnish	搬走的家具
italicize	在字下划横线
agricultural	农业
scoticism	=Scotticism
spicknel	伞形科植物
delustering	去光法
lankly	细长地
acetylcholinesterase	乙酰胆碱酯酶
possess	拥有
refreshing	凉爽的
accrete	附着
antarctica	南极洲
oceanicity	海洋度
furnishings	设备
cusp	尖端
wild	疯狂
breechless	无后膛
unbounded	极大的
consequential	结果的
dotty	多点的
perfervid	非常热心的
nouny	多名词
syllabically	分成音节地
vertebratus	脊状
hypervisor	管理程序
clamp	夹住
viscoidal	有黏性
corroboratory	证实
exponible	可说明的
rebellious	难于对付的
scratch	抓痕
interocular	两眼间的
exhausted	疲惫
crista	羽冠
tribesman	部落男子
diffrangible	可分解
nephrocardiac	肾脏和心脏的
nucleus	核子
duteously	守本分
latten	镀锡铁板
service	服务性
studded	布满颗粒
conceivable	可想像
sarcoplasm	肌质
bloated	发胀的
prepared	精制的
canaller	运河货船
carsickness	晕车
laciniate	有细长裂片
acrospire	幼根
weenie	细小
edb	dibromide二溴化乙烯
carabid	步甲
infirm	柔弱的
converse	认识
transfixion	凝固
body	身体
shareable	可分摊的
unsoldierly	不英勇
choanocyte	环细胞
singaporean	新加坡人的
dayglow	白天气辉
doeth	do的第三人称单数现在式
dryad	森林女神
discrete	离散
hymeneal	婚姻
erotogenic	动欲
abalienate	让渡
used	用旧了的
rubblework	表面粗糙的石头建筑
needless	不需要
ganoid	珐琅质的
suburbia	郊区居民
delphian	意义不明确的
lax	松驰的
allocable	可拨出
mushily	玉米粥状
confirmand	请求受按手礼
crib	抄袭
various	各种各样的
psychoneurotic	神经病的
smileless	没有笑容的
hedonistic	快乐论的
fend	努力
tortuous	曲折的
zygospore	接合孢子
hawaiian	夏威夷语的
photogun	光电子枪
multicentric	发生于多中心的
delegitimation	权威丧失
giraffine	像长颈鹿
automatize	使自动化
repleviable	可发还的
graciously	优雅地
genoese	热那亚的
etep	Progrom
canadien	加拿大的法国移民
toeshoe	芭蕾舞鞋
dexamethasone	地塞米松
stillborn	生下来已死的
unfurl	展开
nanoid	侏儒样的
muscleless	无肌肉的
cyclonoscope	飓风中心测定仪
inconscient	无意识的
enterotoxemia	肠毒血病
cheery	愉快
flory	temperature弗洛里温度
gigmanity	市侩阶层
shelly	多壳的
photochrome	彩色照片
trichloronitromethane	=chloropicrin
windbaggary	夸夸其谈
seropositive	血清反应阳性
juju	符咒
thorium	钍
uptrend	趋势
fungoid	真菌样的
kenspeckle	显著
cocoa	可可粉
roadworthiness	车辆之性能
usefully	有效
flog	鞭策
tosh	废话
epsomite	泻利盐
noblest	华丽
leakiness	易漏
viking	北欧海盗
segetal	在谷类田间生长的
fruit	成果
scapula	肩胛骨
epicenter	震中
ranging	广泛搜索
trifurcate	三叉的
homeomorphous	同胚的
exobiology	外空生物学
diffidence	缺乏自信
remarkable	不平常
bey	州长
joviologist	木星学者
antimeric	体辐的
catholicness	普遍性
cgh	Cape
fend	保护
crossgrained	固执
batter	打坏
pothanger	吊杆
buccaneerish	海盗似
astringe	使收敛
felicitous	善于措词的
illegalize	使成为非法
cembalist	羽管键琴演奏者
jv	Varsity
raa	of
thitherward	向那边
vincible	容易征服的
unionize	成立工会
ferrule	金属箍
slatted	覆有板条的
arsphenamine	胂凡纳明
sap	使衰竭
dinar	第纳尔
orthodox	正统的
unclos	Conference
microlite	细晶体
infuse	注入
hypertensive	高血压患者
danseuse	女芭蕾舞演员
reblossom	重呈繁盛
carbachol	氯化氨甲酰胆碱
premaxillary	前颌骨
digitation	指状突起
arrestment	拘捕
insurgently	造反
saloniki	=Salonika
residue	残余
huh	哼!
compotator	会饮者
typothetae	印刷业同业协会
lifetime	终生
adrift	漂浮着
segregant	=segregate
gambol	耍闹
distance	遥远
asthmatic	哮喘
iliyria	伊利里亚
inebrious	喝醉的
rabid	狂暴的
hatefully	憎恨地
hielamon	树皮盾
dns	Domain
untorn	未撕开
plated	装甲的
umbral	阴暗
iconoduly	崇拜偶像
adversely	逆
sharkskin	鲨鱼皮
csce	欧洲安全和合作会议
nidamental	生卵膜的
tambov	坦波夫
inferior	自卑
untidy	不整齐
pam	帕姆
waltham	沃尔瑟姆福雷斯特
sphygmoscope	脉膊检视器
univalve	单壳软体动物
cdma2000	Access2000
counsel	忠告
bodacious	胆大包天
outback	在内地
archenteric	原肠之消化道的
laches	懈怠
gasometric	气体定量分析学
caesarism	专制政治
divulgate	=divulge
blender	搅拌机
chaffingly	嘲笑
uniparental	单亲
fuscescent	略带暗褐色
dyadic	二价
crankery	脾气古怪者的行为和想法
partook	partake的过去式
chubby	圆胖的
algorism	阿拉伯数字系统
sanguiferous	含血
fibre	须根
expostulatory	训诫
tweedy	爱穿粗花呢服装
tromba	小号
monadic	单细胞生物的
ephebeion	体操场
geopolitist	地缘政治学者
itching	贪
ekistics	城高及区域的规划学
hesitance	犹豫
radicalness	极端
virtue	德行
wrong	道德不好
lignitize	使变为褐煤
biostatics	生物静力学
oviform	卵形
supposed	假像
cosigner	连署保证
tuberculosis	肺结核
ridicule	嘲笑
put	击
featherless	无羽毛的
latvian	拉脱维亚人的
frothily	如泡
unwashed	没有洗的
poofy	搞同性恋的
specilize	专攻
tantalization	使干着急
unpeace	无和平
ultimacy	根本性
upright	合乎正道
ambulatory	回廊
maelstrom	大漩涡
geomantic	风水
larmor	拉莫尔旋进
os	Old
