loutish	无礼的
harassed	疲倦的
curdle	凝固
demotics	社会学
craniectomy	部分颅骨切除术
sporangium	芽孢囊
unaccommodating	不随和
audiotyping	录音打字
kneebrush	膝上毛簇
lomentum	=loment
musky	麝香似
flibbertigibbet	不负责任
droit	权利的对象
godfather	当教父
mealymouthed	转弯抹角说的
caressing	爱抚的
dirge	挽歌
criminality	有罪
cocklebur	苍耳属植物
windward	上风面
dagger	匕首
intercurrent	并发
everyone	每个人
flab	松弛
obey	顺从
ease	灵活地移动
invertebrate	无脊椎动物
sabinian	萨比尼安
howl	嚎啕大哭
donkeyman	辅助发动机管理工
orbitale	眶最下点
disbandment	解散
confab	会议
hempy	爱恶作剧的
hwyl	雄辩
aftershaft	后羽
corporality	肉体的存在
tuum	你的
bimestrial	每两个月发生一次的
treadboard	踏板
graphy	书写单位
holothurian	海参
pochismo	夹杂英语词汇的西班牙语
offhand	随便
multicoloured	五彩缤纷的
leukaemia	白血病
discreetly	小心
beery	啤酒喝醉的
frightful	可怕的
feldspathic	由长石构成的
popular	受欢迎的
indebtedness	受恩惠
church	教堂
enterpriser	工商业投机家
continency	节制
founder	失败
it	Information
hih	His
while	时间
westralian	西澳大利亚人
audibility	可听到
narcose	昏迷
fasciae	招牌
spiritualization	精神化
haematologist	血液病学学者
faconne	细花纹织物
unchangeable	不变的
definite	一定的
cosmography	宇宙志
tibiotarsus	胫跗骨
picaroon	做海盗
inquisite	调查
row	排
amain	全速
pyemic	毒血症的
crossly	相反
spatula	压舌板
floatable	可浮起
pastiche	模仿画
putty	灰泥
fettle	情绪
shopworn	陈旧的
blusterous	夸大的
ms	Standard
rage	精神错乱
punic	古迦太基人的
enscroll	慎重记载
warden	区长
quinquereme	五段帆船
jitterbug	跳吉特巴舞
engrossment	正式缮写的文件
closet	储藏室
leary	空的
overcare	杞忧
imbibition	吸入
gently	轻轻
abustle	忙碌的
titicaca	的的喀喀湖
modulate	调整
reflect	反省
bicorporal	有两个身体
probusing	赞成用校车接送
airframe	机身
mammock	碎块
wry	扭歪
whole	未损伤
linguine	扁面条
pouched	袋形
hambone	扮黑人说黑人方言的杂耍演员
immaterialism	非物质论
penoche	=penuche
cutis	皮肤
tradition	惯例
blinking	闪光的
push	努力争取
unwary	易受骗的
redemptor	=redeemer
structureless	无结构的
whereabouts	所在
genevese	日内瓦
requite	报答
lrl	laboratory
blackhearted	心肠黑
convent	女修道院
cloxacillin	邻氯青霉素
cryptic	秘密的
cluster	丛生
tabid	衰弱
encephalograph	脑照相术
sexennial	每六年
stoke	大吃
gigmanity	庸夫俗子
synoptic	对观福音书
downright	显明的
ribgrass	长叶车前草
zeugma	轭式修饰法
covenanter	契约者
extractable	可拔出
mora	音节延长度
adgb	Defence
decauville	窄轨轻便铁路
grittiness	有砂砾
anectine	琥珀酰胆碱
cyanize	把……转化为氰化物
nymphet	放荡的少妇
malconduct	胡作非为
mend	修理部分
spermaduct	输精管
spirometer	肺活量计
deuteranopic	绿色盲的
crush	压服
shift	办法
manhattanize	使高楼密集
iaupe	Professors
shipfitter	轮船装配者
remigrant	再移居者
text	课文
unkindly	不近人情
availability	实用性
immotile	不能游动的
intercoastal	两岸间
nameless	难以形容的
swingeing	巨大
outboard	向舷外
handraulic	手动的
unheroic	胆怯
digitate	有指
muttonhead	傻瓜
strikingly	引人侧目地
ichthyophagist	以鱼为主食的人
bootmaker	制靴者
eyeable	可见的
combo	结合物
sniff	闻到
contributing	起作用的
underfund	对……提供资金不足
inquiry	调查
fryer	油炸
vdc	Defence
euthyroid	甲状腺机能正常的
aristocratic	贵族化
overstrain	使过度紧张
flowery	绚丽
unrelatable	不相关的
chingkang	Mountains
discutient	消散药
angiotomy	血管解剖术
electroencephalogram	IlektrEJlographic/I`lektlography/I`lektrn5sefElEJ^rAm/
indigestible	不吸收的
binary	二进位
cartilaginous	软骨的
moonlet	人工卫星
chiropractic	脊椎指压治疗法
hackle	乱砍
precipitate	使陷入
land	陆
defrayal	支付
grail	圣杯
epibiosis	附生生活
brainteaser	谜
tuberculoid	结核样
postrider	驿传者
tryst	幽会
scotch	镇压
nigrostriatal	黑质纹状体
furious	狂怒
conduplicate	折合状
gunyah	土人的小屋
dominical	主的
scaled	有鳞状斑点的
vote	投票决定
cerebrocentric	大脑中枢的
sec	秒
chirognomy	手相术
disadvantage	缺点
theory	学说
epipetalous	花瓣上着生的
gipsydom	流浪生涯
androphobia	憎恶男性病
undertake	承担
argillite	粘板岩
unkink	除去……的纠结
writhe	翻腾
tuitional	学费
pustule	脓疱
godliness	虔诚
lassock	少女
goosy	愚蠢的
spill	使流出
misspoken	念错
mellita	的复数
portal	入口
featly	整洁
pop	枪击
dud	哑弹
damageable	易损害的
cognominal	同姓
waver	踌躇
caster	投手
repulsive	排斥的
command	博得
macrocephalus	巨头人
indigenize	使本地化
ferry	来往行驶
tumultuate	使骚动
sublunary	月下
patronize	资助
trammel	拘束
idiotropic	内向
local	地方的
yankeefy	使美国化
lode	矿脉
justifier	辩解者
bipedal	两足动物
blastocele	分裂腔
skinny	皮
distribution	销售
digenetic	世代交替
acne	粉刺
electrostatic	静电的
toxicologically	毒理学
singlehanded	独力
expedite	派出
milestone	里程标
inducement	诱导
glaucous	覆有白粉
centrifugalize	使受离心作用
buy	购买
stymie	完全妨碍
baton	司令棒
vertebra	椎骨
stabilizer	安定装置
econometrics	经济计量学
heterotrophically	不是自养
throughother	混乱
supergranular	超米粒组织的
prehominid	猿人
townish	城镇的
paygrade	薪饷等级
