potsdam	波茨坦
croquet	循环球戏
direct	指导
acidize	用酸处理
emergent	紧急的
serve	招待
final	决赛
outstrip	超过
literal	文字
epigeal	贴地生长
hempy	爱恶作剧
astroid	星状
piezometric	压力计
breadbox	面包箱
nonexportation	不可出口
theirself	pro
terrine	陶制盖碗食品
thermodynamic	使用热动力的
laborite	劳工党党员
congratulatory	祝贺的
bloop	将棒球打到内外野之间
phanerocrystalline	显晶质类
animatism	万物有灵论
brs	Services
inverse	反转
killfile	可以过滤UseNet消息的文件
slot	位置
waterloo	沃特卢
lebanese	黎巴嫩人
mambo	曼博
erigeron	飞蓬属植物
spectatoritis	观众病
frau	已婚的女性
minischool	小型学校
capriform	如山羊
lamentableners	拙劣
windup	装有发条
economy	系统
carry	意味
droppable	适于投下的
stalino	斯大林诺
abduce	使外转
ping	子弹飞过空中的声音
glaring	耀眼的
westernmost	极西的
grundyism	注重规矩
synesis	非成文造句法
regretful	遗憾的
cloudworld	云景
unrazored	未修剪过
liegeman	忠实的部下
far	很晚地
intrench	固守
dubious	可疑
tattler	说闲话的人
rewinder	倒带装置
arnold	阿诺德
histophysiological	lEdVI/
ponderance	重要性
zif	Force
rarity	稀有
pouch	钱袋
jock	运动员
semicolony	半殖民
yellowy	略带黄色的
vasoactive	影响血管
openmouthed	惊讶的
bestially	残忍地
balloonist	气球驾驶者
coda	完结部
our	pro
iea	Association国际教育协会
recultivate	再耕种
parthenopaeus	帕耳忒诺派俄斯
coppery	铜一样的
endogamous	同族结婚的
pledge	抵押
southwester	向西南
yeastlike	似酵母的
amdg	majorem
imagist	意象派
slowish	速度较慢
scenic	戏剧性的
obelisk	疑问记号
palpable	明显的
gravitino	引力微子
pertinent	相干
primitive	粗糙
gruesome	可憎的
indigently	贫乏地
autoplastic	自体移植
philanthropize	慈善地对待
antimeric	对称部分的
devilishly	过分地
ejaculatorium	排精室
balladmonger	劣等诗人
desponding	沮丧
dofunny	小附件
attainability	所及
hurt	刺痛
equivocal	意义不明确
coverley	Sir
influencing	影响
nulliparous	未产妇
diploma	证明权力、特权、荣誉等的证书
percentage	百分数
prolocutor	主持会议者
basion	底穴
recalcitrant	反抗的
aspiration	热望
impicture	以图表现
corpulent	肥胖的
feeling	触觉
bivariate	双变
germanious	含二价锗的
shapelessly	不成形地
screech	尖叫声
sneezy	有喷嚏
interpolation	篡改
when	在……的时候
softy	笨蛋
