bundesrath	旧德意志之联邦议会
nauch	=nautch
vermes	vermis
micritic	微晶灰岩含量高
adiathermancy	绝热性
traprock	=trap
thin	薄的
coachwhip	马鞭
hymenotomy	膜切开术
saturate	使充满
impenitent	不悔悟的人
interoceanic	大洋间
vaccine	牛痘的
bacchic	醉
feebleminded	低能的
roumanian	罗马尼亚人
olg	Low
chip	碎裂
overset	打翻
overstability	极大的稳定性
humbleness	卑贱
ectopia	异位:
valuable	有价值
optometer	视力检定装置
epigonus	=epigone
verminate	孳生寄生虫
unforgiving	不可宽恕的
chide	斥责
capitoline	Jupiter神殿
pneumogastric	迷走神经的
endosymbiosis	内共生
irrigate	修水利
daughterly	女儿似
feel	摸索
hoodoo	不祥的人
balmy	温和的
irrigator	灌溉车
calced	穿鞋的
dioptometer	眼折光力计
astonied	大吃一惊
lhd	Litterarum
inessive	指示位置的
mythologize	讲神话
unsoiled	未弄脏的
acetin	醋精
undated	无限期
serpentinous	蛇纹石
struggle	尽力使得
humanisation	=humanization
bim	英国管理学会
patriarch	族长
cosupervision	共同监督
lak	腊克语
withershins	左向转动
hottest	热
overfeeding	过量食物
underprop	支撑
unregretted	无人对之表示悔恨的
glimmer	闪烁
godet	用以显示褶纹
vulturous	兀鹰
rabbi	法师
rsc	Shakespeare
carnal	肉体的
apochromatic	高度消色的
unfermented	没有发过酵的
unequal	不平等
footslogger	长途步行者
symbolistic	象征主义
civil	公民
caulicolous	附生在他种植物茎部
epicurean	享乐主义
floating	流动
regret	哀悼
putresce	开始腐烂
unwisdom	愚昧
cycloheximide	放线酮
answer	抗辩
japonic	日语
audacious	大胆创新的
hemimetabolous	不完全变态中
chemotherapeutant	化学治疗剂
blundering	易犯错
maulvi	s)
monohull	单体船
recliner	斜躺者
constrained	被强迫的
used	旧的
tropocollagen	原胶原
zooxanthella	虫黄藻
remoteness	远离
vomitus	呕吐
diathermanous	透热
magnetogasdynamic	^AsdaI`nAmIks/磁气体动力的
home	本国
spirit	火力
takingly	传染地
floridity	脸色好
phrynin	蟾毒
tempermament	气质
fuegian	火地岛
snipe	鹬
subliminal	潜在意识的
skice	迅速奔跑
acronical	日落时发生的
dithyramb	酒神的赞美歌
typewriting	打字工作
clear	光亮的
peaceably	温和
bedbound	卧床不起的
aeroembolism	气泡栓塞症
radiate	辐射状
purpuric	有紫色的
nonadmission	不接纳
trousseau	嫁妆
amagasaki	尼崎
progress	发展
macle	斑点
ruthenious	二价钌
pedestrian	通俗
combo	小型爵士乐团
dinosaurian	似恐龙的
lobsterman	捕龙虾的渔夫
moratorium	延期偿付期间
knight	骑士
twine	细绳
pedigree	血统
malodorant	恶臭物
bronchi	bronchus的复数
ai	insemination
preclassical	古典期前
mspe	Master
speckless	无斑点
solidary	团结一致的
assumed	假装
star	明星
hdcd	高解析度光盘
panouchi	=panocha
spy	侦察
assaultable	可袭击
silundum	硅碳刚石
violable	易受侵犯的
saturable	可饱和
unhired	未雇用的
flaxseed	亚麻仁
warrant	授权
aglisten	闪烁
lrl	receiving
rustically	乡土气地
chill	寒冷
stubbornly	顽固
cerebrotonic	孤僻气质的
lumber	无用的杂物
hermeneutic	解释学
spiritually	在精神上
haply	或许
aerodynamicist	气体力学者
palatinate	巴列丁奈特之居民
epizootic	家畜流行病
flabellifoliate	叶呈扇形排列的
fibroplasia	纤维素增生
unimpressionable	无情的
cerebratmon	脑髓作用
wanderer	迷路的动物
presbyope	老花眼者
warmer	温热装置
bali	巴厘岛
iffy	不确定
choose	选定
explore	探究
eristic	争论术
towards	有助于
hideously	非常讨厌地
shop	商店
sideling	斜的
psg	sergeant
dlp	Processor
autumnal	已过中年
emotively	使感动
controllable	可管理的
strategical	战略
outdoor	野外的
scavenge	从废物中提取
disinvestment	收回投资
twitch	抽动
displeasing	令人发火的
insectual	小虫子似
inorganizable	缺乏组织
quoit	金属环
nop	provided
cowshed	牛棚
maybe	疑虑
prattle	唠叨
loaves	大块烤过的食物
granularity	间隔尺寸
fissionable	可裂变物质
foetor	=fetor
perfect	使熟练
unexcelled	极好
lacy	花边
unforested	未植林的
dhofar	佐法尔
foolish	愚蠢
dog	卑鄙的人
life	生命
dinch	掐灭
distress	危难
maladaptive	显示不适应
freely	直率地
clearstory	天窗
birdbrain	轻佻的人
jealous	猜疑的
admission	供认
grown	长大
annulment	取消
subline	亚系
pacesetting	领头
aquatic	水栖的
arabesque	阿拉伯式图饰
coalbox	发黑烟的炸弹
archaist	爱写古体文者
ogasawara	小笠原群岛
dayton	代顿
folie	疯狂
pungent	严厉
ruthless	无情的
brimmer	满溢的杯
recoal	重新添煤
submaxilary	下颚
lcvp	personnel车辆人员登陆艇
with	赞成
prentice	使做学徒
your	你们的
hysteric	歇斯底里的
debatable	可争议的
courtliness	恳挚谦恭
exhalable	可吐出
labourious	需要劳力的
oily	油腔滑调的
misspent	浪费的
convertiplane	可以垂直升降的飞机
photoabsorption	光吸收
sharpshooter	神枪手
unfathomable	深不可测的
naughtily	无礼地
retranslate	再译
kotwal	行政长官
faint	无力
primely	极好地
gaming	赌博
verminicide	灭虫剂
feel	感觉
station	驻扎
eccentricity	偏心
brainpower	智能
bolter	常脱缰的马
aging	老化
nyctitropic	夜间变更方向的
hame	颈轭
do	可用
acatalectic	音节数完整的
octette	八重唱
microsystem	微系统
amethyst	紫水晶
dog	犬
glyconeogenesis	糖合成
lothario	放荡者
weathervision	天气图像传递
skibob	连橇
fortnightly	隔周发行的
edacity	贪吃
ingenerate	内在的
laddish	稚气的
demonologically	鬼神学地
literate	学者
barge	用船运输
composedly	从容
oap	Pension
reuter	路透社
fly	飘扬
padrone	包工头
cycas	铁树
polyzonal	多圈的
queasy	不稳定的
heddle	综丝
sivaite	湿婆教派信徒
flier	快车
rapine	掠夺
balneology	浴疗学
matrimony	结婚
promote	提升
welsh	威尔士人
