amuse	使发笑
citywide	全市性
upstate	北部
cranky	摇荡不稳的
marquesa	女侯爵
uncommunicative	拘礼
saponated	皂化的
uncivilly	无礼地
electrohorticulture	电气化园艺
frankpledge	十家连保制
oniomania	购买狂
earthborn	尘世
hulled	有船身
stenotype	使用普通文字的速记法
fibroelastic	纤维弹性组织
supertransuranic	超重
prescription	药方
edrophonium	氯化腾喜龙
alligatorfish	大西洋产的一种细长型的鱼
wordy	冗长
vain	徒然的
faint	衰弱
transonic	接近音速
overheat	变得过热
sexagesimal	六十进位
diabolic	残忍
recessive	逆行
entomological	昆虫学的
antiquer	古董收藏家
down	软毛
illative	推论
toplofty	自负的
arrant	声名狼藉
sussy	可疑的
avalanchologist	研究雪崩的专家
urge	迫切要求
sunshade	遮阳伞
charlatanry	骗子行为
ominous	不吉利
inexpedient	不适宜
dewy	露湿的
seat	所在地
federate	联邦制度下的
criminatory	使负罪的
surpass	胜过
lumberyard	木材堆置场
ahg	globulin抗血友病球蛋白
axilla	腋窝
delate	控告
sulcate	有槽
unscrupulous	肆无忌惮
luthern	=dormer
catchall	装零杂物品的容器
educe	使显出
slob	笨蛋
snoopy	爱管闲事的
lizzie	廉价的破旧汽车
limnological	湖泊学的
refreeze	再结冰
amused	好玩
patroclus	普特洛克勒斯
springhare	=springhaas
quizzery	试题集
headsquare	=headscarf
msgm	of
urolith	calculus
gasolier	=gaselier
sorehead	发牢骚的人
terabit	兆兆位
khalifate	哈里发的职位
touch	感动
unworthy	卑劣的家伙
unfathered	出处不明的
hydrometeorological	水l/
abdicant	逊位的
procurance	实现
triandrous	三雄蕊
destitute	困穷
waltz	华尔兹舞
msha	Hospital
histaminase	组织胺酵素
filipine	菲律宾
resorbent	再吸收
estate	状态
equilibrate	相称
optometrist	视力测定者
hydrostatical	静水力学
oversupply	过度供给
unexpiated	未补偿
universally	全体地
cancerophobia	恐癌症
gleam	瞬息的一现
reap	收割
diamantiferous	产钻石
without	要没有
arraignment	责难
nick	缺口
titanic	钛的
most	最
revalidation	重新生效
serenely	沉着
slobbery	过于伤感
suspensive	可疑的
homicidal	杀气腾腾的
cherubic	可爱的
president	行长
hoosegow	监狱拘留所
jingoish	侵略主义的
solstitial	冬至
hound	激励
ruling	统治
hardly	几乎不
acgb	of
oppressively	沉重地
statuesque	雕像般的
ichthyol	鱼油精
tangency	接触
affectionate	亲爱
chloridize	涂氯化银
aghast	吓呆的
conservatory	音乐学校
fasciated	扁化
suprathermal	超热
fixedness	稳固
meshy	网状的
sleight	手法
ryot	印度农夫
ocherous	含赭石的
kirlian	基尔良
show	指示
undiluted	未冲淡
anabranch	支流
afreet	恶魔
cheskey	捷克人之后裔
artifactitious	人工制品
unmeaningful	意义的
pearly	珍珠似的
discursively	推论地
alterability	可变更性
dic	Constraint
excrete	分泌
embracive	全部包围
towards	朝
eulogistical	颂词的
heirless	无继承人的
endoscopic	内窥镜检查的
matted	无光泽
crustily	粗鲁
rack	小步跑
gore	缝以补裆
nonflying	不能飞
catarrhal	鼻黏膜炎的
lingy	石南很多
dolores	德洛丽丝
goumier	参加北非士兵小分队的北非人
rehearsal	试演
hysteric	歇斯底里症之发作
subsaturated	不完全饱和
brooder	沉思者
slobber	口水
boorish	粗野的
vagabond	流浪的
unsc	安理会
ferocious	极度
running	不断
blossom	兴旺期
hierarchy	层次
blanch	遮断阳光
colourcast	彩色电视
value	值
deviltry	恶行
anticlockwise	逆时针
newfangled	新奇
awedness	表示敬畏
microporosity	微孔率
tlas	如WWW等
yesty	yesterday
unbodied	无实体
myeloblast	成髓细胞
octad	八价元素
aram	Associate
rumbustiously	喧嚣地
ceratin	=keratin
easel	黑板架
grizzled	头发斑白的
nonobjectivity	缺乏客观
inharmonious	不和睦的
cosmopolitanism	四海一家
numerate	数
divinize	偶像化
halidom	圣地
confucian	孔子的
desalinize	除去盐分
feuilleton	小品
plonko	饮酒过度的人
overdaring	鲁莽的
diapsid	双窝型
honoria	霍诺丽亚
archanthropine	灵长目动物
automatograph	自动记录器
miswrite	把……写得不当
slough	蜕皮
bumbailiff	执行官
deltoideus	=deltoid
acumination	尖头
wight	人类
unclimbable	爬不上去
pneumatolytic	气化的
shortgrass	短禾草
parametric	参量的
repulse	击退
oleo	人造黄油
microphonics	微音扩大学
slivovitz	梅子白兰
exculpatory	辩解的
cleanser	清洁剂
oust	剥夺
bullish	看涨的
foreland	前沿
revelation	揭示
dissolute	放荡的
unasked	未经要求
holocoder	全息编码器
monophysite	基督一性论者
predistortion	预矫正
atlantean	岛
ostium	口
principial	最初
pet	受宠爱的人
amaldar	代理商
rigor	严密
foreignism	外来语
dissolution	分解
doura	=durra
pussyfooter	观望者
holon	子整体
sophist	诡辩家
doltish	愚钝的
abstention	节制
nectar	甘露
confusedly	受困惑
daedalian	巧妙的
grandiloquent	夸大
designing	有计划
cilia	纤毛
indicative	指示的
prettiness	漂亮
ea	Electronics
power	激励
weak	疲软
undecipherable	=indecipherable
divine	非凡的
embezzle	盗用
impassably	无法通行地
bimillennial	两千年的
hemosiderosis	血铁质
keynesian	凯恩斯理论的
uninformative	不增进知识的
stormy	有暴风雨
dyspepsy	消化不良
land	使上岸
veterinary	兽医
unset	未凝固的
pesterous	纠缠不休的
henhearted	胆小的
fidgety	不沉着
uba	缅甸联邦航空公司
ligeance	领地
twinborn	双胞胎的
juristical	法理学
notionist	宗教观点偏激的人
betsy	的昵称
cocurricular	辅助课程的
unadvised	未曾受到劝告的
topocentric	以地面上的某点为中心的
breakup	完结
eld	古人
extramarital	私通的
rowen	一季中牧草之第二度收割
landeshauptmann	州长
conflicting	相冲突
lunisolar	日与月
preteen	青春期前的
carnassial	食肉的
aquiline	弯曲的
reserved	包租的
peak	使达到最高点
featheriness	轻吹
ahvaz	=Ahwaz
pater	父亲
verriculate	具毛簇的
coleopteran	鞘翅类之昆虫
